catalogo,codigo,etiqueta,orden,activo
ROL,LECTOR,Lector,10,S
ROL,ANALISTA,Analista,20,S
ROL,APROBADOR,Aprobador,30,S
ADAPTADOR,SAP_PM,SAP PM,10,S
ADAPTADOR,MAXIMO,IBM Maximo,20,S
TIPO_PLAN_SAP,ESTRATEGIA,Plan de estrategia (paquetes),10,S
TIPO_PLAN_SAP,CICLO_INDIVIDUAL,Plan de ciclo individual,20,S
OFICIO,MEC,Mecánico,10,S
OFICIO,ELE,Eléctrico,20,S
OFICIO,INS,Instrumentista,30,S
OFICIO,LUB,Lubricador,40,S
OFICIO,PRE,Técnico predictivo,50,S
OFICIO,OPE,Operador,60,S
OFICIO,CIV,Civil / obras,70,S
OFICIO,TER,Contratista externo,80,S
CODIGO_ACTIVIDAD,INSP,Inspección,10,S
CODIGO_ACTIVIDAD,PRED,Monitoreo por condición,20,S
CODIGO_ACTIVIDAD,LUBR,Lubricación,30,S
CODIGO_ACTIVIDAD,LIMP,Limpieza,40,S
CODIGO_ACTIVIDAD,CALI,Calibración,50,S
CODIGO_ACTIVIDAD,SERV,Servicio,60,S
CODIGO_ACTIVIDAD,RENO,Reacondicionamiento,70,S
CODIGO_ACTIVIDAD,REEM,Sustitución,80,S
CODIGO_ACTIVIDAD,BUSQ,Búsqueda de falla oculta,90,S
CODIGO_ACTIVIDAD,REDI,Rediseño,100,S
FRECUENCIA_UNIDAD,H,Horas (calendario),10,S
FRECUENCIA_UNIDAD,D,Días,20,S
FRECUENCIA_UNIDAD,S,Semanas,30,S
FRECUENCIA_UNIDAD,M,Meses,40,S
FRECUENCIA_UNIDAD,A,Años,50,S
FRECUENCIA_UNIDAD,HRS,Horas de operación,60,S
FRECUENCIA_UNIDAD,CIC,Ciclos,70,S
FRECUENCIA_UNIDAD,KM,Kilómetros,80,S
BASE_FRECUENCIA,CALENDARIO,Calendario,10,S
BASE_FRECUENCIA,USO,Uso,20,S
DURACION_UNIDAD,MIN,Minutos,10,S
DURACION_UNIDAD,HR,Horas,20,S
ESTADO_EQUIPO,MARCHA,Equipo en marcha,10,S
ESTADO_EQUIPO,PARO,Equipo en paro,20,S
PERMISO,NO,Sin permiso especial,10,S
PERMISO,ALTURA,Trabajo en altura,20,S
PERMISO,CONFINADO,Espacio confinado,30,S
PERMISO,CALIENTE,Trabajo en caliente,40,S
PERMISO,LOTO,Bloqueo y etiquetado (LOTO),50,S
PERMISO,ELECTRICO,Trabajo eléctrico,60,S
CATEGORIA_CONSECUENCIA,OCULTA-SEG,Oculta con consecuencia de seguridad o ambiental,10,S
CATEGORIA_CONSECUENCIA,OCULTA-NOSEG,Oculta sin consecuencia de seguridad,20,S
CATEGORIA_CONSECUENCIA,EVIDENTE-SEG,Evidente con consecuencia de seguridad,30,S
CATEGORIA_CONSECUENCIA,EVIDENTE-AMB,Evidente con consecuencia ambiental,40,S
CATEGORIA_CONSECUENCIA,EVIDENTE-OPE,Evidente con consecuencia operacional,50,S
CATEGORIA_CONSECUENCIA,EVIDENTE-NOOPE,Evidente sin consecuencia operacional,60,S
ORIGEN,RCM,Análisis RCM,10,S
ORIGEN,LEGAL,Requisito legal o normativo,20,S
ORIGEN,FABRICANTE,Recomendación del fabricante,30,S
ORIGEN,PLAN_PREVIO,Heredada del plan previo,40,S
ESTADO_TAREA,BORRADOR,Borrador,10,S
ESTADO_TAREA,PROPUESTA,Propuesta,20,S
ESTADO_TAREA,APROBADA,Aprobada,30,S
ESTADO_TAREA,RECHAZADA,Rechazada,40,S
ESTADO_MATERIAL,EXISTENTE,Existente en el CMMS,10,S
ESTADO_MATERIAL,POR_CREAR,Por crear,20,S
ESTADO_MATERIAL,SOLICITADO,Alta solicitada,30,S
CLASE_CRITICIDAD,A,A - Crítico,10,S
CLASE_CRITICIDAD,B,B - Semicrítico,20,S
CLASE_CRITICIDAD,C,C - Importante,30,S
CLASE_CRITICIDAD,D,D - General,40,S
SI_NO,S,Sí,10,S
SI_NO,N,No,20,S
CONDICION_REGLA,S,Sí,10,S
CONDICION_REGLA,N,No,20,S
CONDICION_REGLA,*,Indiferente,30,S
CATEGORIA_MSG3,LUB-SERV,Lubricación y servicio,10,S
CATEGORIA_MSG3,OPC,Verificación operativa,20,S
CATEGORIA_MSG3,VCK,Verificación funcional,30,S
CATEGORIA_MSG3,INS,Inspección,40,S
CATEGORIA_MSG3,FNC,Prueba funcional,50,S
CATEGORIA_MSG3,RST,Restauración,60,S
CATEGORIA_MSG3,DIS,Descarte,70,S
CATEGORIA_MSG3,NHF,Sin tarea programada,80,S
REGIMEN_OPERACION,CONTINUO,Continuo (24/7),10,S
REGIMEN_OPERACION,INTERMITENTE,Intermitente,20,S
REGIMEN_OPERACION,POR_CAMPANA,Por campaña,30,S
REGIMEN_OPERACION,STANDBY,En espera (standby),40,S
REDUNDANCIA,NINGUNA,Sin redundancia,10,S
REDUNDANCIA,PARCIAL,Redundancia parcial,20,S
REDUNDANCIA,TOTAL,Redundancia total (100%),30,S
AMBIENTE,INTERIOR,Interior,10,S
AMBIENTE,EXTERIOR,Exterior,20,S
AMBIENTE,CORROSIVO,Atmósfera corrosiva,30,S
AMBIENTE,POLVO,Alta concentración de polvo,40,S
AMBIENTE,HUMEDO,Ambiente húmedo,50,S
AMBIENTE,ALTA_TEMP,Alta temperatura,60,S
