codigo_taxonomia,codigo_modo_iso,funcion,falla_funcional,modo_falla,causa,efecto,evidente,seguridad,ambiental,operacional
PU-PM-IMP,LOO,Impulsar el fluido al caudal y presión de diseño,Entrega un caudal inferior al de diseño,Desgaste erosivo del impulsor,Sólidos en suspensión en el fluido bombeado,Caída progresiva de caudal y aumento del consumo específico,S,N,N,S
PU-PM-IMP,VIB,Impulsar el fluido al caudal y presión de diseño,Opera con vibración fuera de norma,Desbalanceo del impulsor,Incrustaciones o pérdida de material en los álabes,Vibración creciente y daño secundario en cojinetes y sello,S,N,N,S
PU-PM-COR,OHE,Soportar las cargas radiales del eje,Los cojinetes no soportan la carga,Falla de rodamiento por fatiga superficial,Lubricación insuficiente o contaminada,Sobrecalentamiento y bloqueo del eje con parada de la bomba,S,N,N,S
PU-PM-COR,VIB,Soportar las cargas radiales del eje,Los cojinetes operan con holgura excesiva,Desgaste de pista y elementos rodantes,Vida útil agotada o desalineación persistente,Vibración creciente hasta la parada del equipo,S,N,N,S
PU-PM-COA,OHE,Soportar el empuje axial del rotor,No absorbe el empuje axial,Deterioro del cojinete axial,Empuje axial fuera de diseño por operación a caudal bajo,Contacto rotor-estator y avería mayor de la bomba,S,N,N,S
PU-PM-EJE,STD,Transmitir el par del accionador al impulsor,El eje no transmite el par,Fractura del eje,Fatiga por desalineación sostenida,Parada inmediata de la bomba y avería mayor,S,N,N,S
PU-PM-ANI,LOO,Limitar la recirculación interna,Recirculación interna excesiva,Desgaste de anillos de desgaste,Rozamiento por holgura fuera de tolerancia,Pérdida de rendimiento hidráulico y mayor consumo,N,N,N,S
PU-PM-CAR,ELP,Contener el fluido bombeado,Pierde contención,Corrosión o erosión de la carcasa,Fluido agresivo o velocidad excesiva,Fuga externa de producto al entorno,S,S,S,S
PU-PM-BAN,VIB,Mantener la alineación del conjunto,No mantiene la alineación,Aflojamiento de pernos de anclaje,Vibración sostenida o par de apriete incorrecto,Desalineación progresiva y daño de sello y cojinetes,N,N,N,S
PU-SS-SME,ELP,Contener el fluido en el paso del eje,Pierde estanqueidad,Desgaste de las caras del sello mecánico,Operación en seco o plan de sello obstruido,Fuga de producto al exterior y parada no programada,S,S,S,S
PU-SS-PLA,PLU,Refrigerar y lubricar el sello,No aporta caudal de flushing,Obstrucción de la línea de sello,Sedimentación de sólidos,Falla prematura del sello mecánico,N,N,S,S
PU-PT-ACO,STD,Transmitir el par entre motor y bomba,No transmite el par,Rotura de los elementos elásticos del acoplamiento,Desalineación o vida útil agotada,Parada de la bomba y riesgo de proyección de fragmentos,S,S,N,S
PU-LU-DEP,LOO,Mantener el nivel de aceite de cojinetes,Nivel de aceite por debajo del mínimo,Fuga por retén o consumo excesivo,Retén deteriorado,Lubricación deficiente y falla de cojinetes,N,N,S,S
PU-LU-FIL,PLU,Retener contaminantes del aceite,No filtra el aceite,Colmatación del filtro,Intervalo de cambio superado,Circulación de aceite contaminado y desgaste acelerado,N,N,N,S
PU-CM-PRO,FTF,Detener la bomba ante condición anormal,No actúa ante la condición de disparo,Protección de baja presión inoperante,Presostato descalibrado o fuera de servicio,Operación en seco sin protección; falla oculta,N,S,N,S
PU-CM-INS,AIR,Indicar las variables de proceso,Indica un valor incorrecto,Deriva del transmisor de presión,Falta de calibración,Decisiones de operación sobre datos erróneos,N,N,N,S
PU-MI-TUB,ELP,Conducir el fluido hacia y desde la bomba,Pierde contención,Fuga en junta bridada,Deterioro de la empaquetadura o apriete insuficiente,Derrame de producto en el área,S,S,S,S
EM-MO-EST,BRD,Convertir energía eléctrica en mecánica,No entrega par,Cortocircuito entre espiras del estator,Degradación térmica del aislamiento,Parada del motor y disparo de la protección,S,S,N,S
EM-MO-AIS,BRD,Aislar eléctricamente los devanados,Pierde rigidez dieléctrica,Degradación del aislamiento por humedad y temperatura,Ambiente húmedo y ciclos térmicos,Falla a tierra con riesgo eléctrico para el personal,N,S,N,S
EM-MO-COJ,VIB,Soportar el rotor,Opera con vibración fuera de norma,Desgaste de rodamientos del motor,Engrase insuficiente o excesivo,Vibración creciente y parada por sobretemperatura,S,N,N,S
EM-MO-ROT,LOO,Generar el par en el entrehierro,Entrega un par inferior al nominal,Barras rotas en el rotor,Arranques frecuentes con alta corriente,Pérdida de capacidad y sobrecalentamiento,N,N,N,S
EM-CO-VEN,OHE,Refrigerar la carcasa del motor,No refrigera,Ventilador roto o desacoplado,Impacto o fatiga del material,Sobrecalentamiento y reducción de la vida del aislamiento,N,N,N,S
EM-CO-REJ,OHE,Permitir el paso del aire de refrigeración,Caudal de aire insuficiente,Obstrucción de rejillas por polvo,Ambiente con alta concentración de polvo,Sobrecalentamiento progresivo del motor,S,N,N,S
EM-MO-CAJ,ELP,Conectar el motor a la alimentación,Conexión de alta resistencia,Aflojamiento de bornes de conexión,Ciclos térmicos y vibración,Calentamiento localizado y riesgo de arco eléctrico,N,S,N,S
EM-CM-PRO,FTF,Desconectar el motor ante sobrecarga,No desconecta ante sobrecarga,Relé térmico inoperante,Fallo interno o ajuste incorrecto,Motor sin protección ante sobrecarga; falla oculta,N,S,N,S
EM-LU-GRA,OHE,Lubricar los cojinetes del motor,Lubricación fuera de especificación,Engrase excedido o grasa incompatible,Procedimiento de engrase no seguido,Sobrecalentamiento de cojinetes y falla prematura,N,N,N,S
VA-VB-OBT,LCP,Cerrar el paso del fluido,No cierra herméticamente,Erosión del obturador y del asiento,Cavitación o cierre sobre partículas,Fuga en posición cerrada y pérdida de control de proceso,N,N,N,S
VA-VB-EMP,ELP,Sellar el paso del vástago,Pierde estanqueidad,Desgaste de la empaquetadura,Ciclos de operación acumulados,Fuga de producto al exterior,S,S,S,S
VA-VB-VAS,STD,Transmitir el movimiento al obturador,No transmite el movimiento,Agarrotamiento del vástago,Corrosión o depósitos en la guía,La válvula no responde a la señal de control,S,N,N,S
VA-AC-NEU,DOP,Posicionar el obturador según la señal,Responde con retardo excesivo,Fuga interna en el actuador neumático,Membrana deteriorada,Control lento e inestable del proceso,N,N,N,S
VA-AC-RES,FTF,Llevar la válvula a posición segura ante fallo de aire,No alcanza la posición segura,Pérdida de fuerza del resorte de retorno,Fatiga del resorte,La válvula no falla en posición segura; falla oculta,N,S,N,S
VA-CM-SOL,FTF,Despresurizar el actuador ante la señal de disparo,No despresuriza,Electroválvula piloto pegada,Suciedad en el aire de instrumentos,La válvula no cierra ante la señal de seguridad; falla oculta,N,S,N,S
VA-CM-POS,AIR,Ajustar la posición a la señal de control,Posición fuera del valor de consigna,Descalibración del posicionador,Deriva del instrumento,Desviación sostenida de la variable controlada,N,N,N,S
