nivel,codigo,codigo_padre,etiqueta,notas
1,PU,,Bombas,Clase de equipo ISO 14224
2,PU-PT,PU,Transmisión de potencia,
2,PU-PM,PU,Unidad de bombeo,
2,PU-CM,PU,Control y monitoreo,
2,PU-LU,PU,Sistema de lubricación,
2,PU-SS,PU,Sistema de sello de eje,
2,PU-MI,PU,Misceláneos,
3,PU-PT-ACO,PU-PT,Acoplamiento,
3,PU-PT-RED,PU-PT,Reductor / multiplicador,
3,PU-PT-VAR,PU-PT,Variador mecánico de velocidad,
3,PU-PM-IMP,PU-PM,Impulsor / rodete,
3,PU-PM-EJE,PU-PM,Eje,
3,PU-PM-CAR,PU-PM,Carcasa / voluta,
3,PU-PM-ANI,PU-PM,Anillos de desgaste,
3,PU-PM-COR,PU-PM,Cojinetes radiales,
3,PU-PM-COA,PU-PM,Cojinete axial,
3,PU-PM-BAN,PU-PM,Bancada y anclajes,
3,PU-CM-INS,PU-CM,Instrumentación de proceso,
3,PU-CM-PRO,PU-CM,Protecciones y enclavamientos,
3,PU-CM-VAL,PU-CM,Válvulas de control asociadas,
3,PU-LU-BOM,PU-LU,Bomba de aceite,
3,PU-LU-FIL,PU-LU,Filtro de aceite,
3,PU-LU-ENF,PU-LU,Enfriador de aceite,
3,PU-LU-DEP,PU-LU,Depósito y nivel de aceite,
3,PU-SS-SME,PU-SS,Sello mecánico,
3,PU-SS-EMP,PU-SS,Empaquetadura y prensaestopas,
3,PU-SS-PLA,PU-SS,Plan de sello (flushing),
3,PU-MI-TUB,PU-MI,Tuberías y bridas asociadas,
3,PU-MI-EST,PU-MI,Estructura y soportes,
1,EM,,Motores eléctricos,Clase de equipo ISO 14224
2,EM-PT,EM,Transmisión de potencia,
2,EM-MO,EM,Motor eléctrico,
2,EM-CM,EM,Control y monitoreo,
2,EM-LU,EM,Sistema de lubricación,
2,EM-CO,EM,Sistema de refrigeración,
2,EM-MI,EM,Misceláneos,
3,EM-PT-ACO,EM-PT,Acoplamiento,
3,EM-MO-EST,EM-MO,Bobinado del estator,
3,EM-MO-ROT,EM-MO,Rotor,
3,EM-MO-COJ,EM-MO,Cojinetes,
3,EM-MO-AIS,EM-MO,Aislamiento eléctrico,
3,EM-MO-CAJ,EM-MO,Caja de bornes y conexiones,
3,EM-CM-PRO,EM-CM,Protecciones (térmica y diferencial),
3,EM-CM-SEN,EM-CM,Sensores de temperatura y vibración,
3,EM-LU-GRA,EM-LU,Puntos de engrase,
3,EM-CO-VEN,EM-CO,Ventilador y tapa deflectora,
3,EM-CO-REJ,EM-CO,Rejillas y conductos de aire,
3,EM-MI-CAR,EM-MI,Carcasa y patas de fijación,
1,CO,,Compresores,Clase de equipo ISO 14224
2,CO-PT,CO,Transmisión de potencia,
2,CO-CP,CO,Unidad de compresión,
2,CO-CM,CO,Control y monitoreo,
2,CO-LU,CO,Sistema de lubricación,
2,CO-SS,CO,Sistema de sello de eje,
2,CO-CO,CO,Sistema de refrigeración,
2,CO-MI,CO,Misceláneos,
3,CO-CP-ROT,CO-CP,Rotores / tornillos,
3,CO-CP-VAL,CO-CP,Válvulas de admisión y descarga,
3,CO-CP-PIS,CO-CP,Pistones y anillos,
3,CO-CP-COJ,CO-CP,Cojinetes,
3,CO-CM-SEN,CO-CM,Sensores de presión y temperatura,
3,CO-CM-REG,CO-CM,Regulación de capacidad,
3,CO-LU-FIL,CO-LU,Filtro de aceite,
3,CO-LU-SEP,CO-LU,Separador aire-aceite,
3,CO-CO-INT,CO-CO,Intercambiador / postenfriador,
3,CO-CO-VEN,CO-CO,Ventilador de refrigeración,
3,CO-MI-FIL,CO-MI,Filtro de aspiración,
1,VA,,Válvulas,Clase de equipo ISO 14224
2,VA-VB,VA,Cuerpo de válvula,
2,VA-AC,VA,Actuador,
2,VA-CM,VA,Control y monitoreo,
2,VA-MI,VA,Misceláneos,
3,VA-VB-OBT,VA-VB,Obturador y asiento,
3,VA-VB-VAS,VA-VB,Vástago,
3,VA-VB-EMP,VA-VB,Empaquetadura,
3,VA-VB-CUE,VA-VB,Cuerpo y bridas,
3,VA-AC-NEU,VA-AC,Actuador neumático,
3,VA-AC-ELE,VA-AC,Actuador eléctrico,
3,VA-AC-RES,VA-AC,Resorte de retorno,
3,VA-CM-POS,VA-CM,Posicionador,
3,VA-CM-SOL,VA-CM,Electroválvula piloto,
3,VA-CM-FIN,VA-CM,Finales de carrera,
1,HE,,Intercambiadores de calor,Clase de equipo ISO 14224
2,HE-TU,HE,Haz tubular / placas,
2,HE-CA,HE,Carcasa y cabezales,
2,HE-CM,HE,Control y monitoreo,
1,VE,,Recipientes a presión,Clase de equipo ISO 14224
2,VE-CU,VE,Cuerpo del recipiente,
2,VE-IN,VE,Internos,
2,VE-SE,VE,Dispositivos de seguridad,
